character,section,move,startup,total_frames,landing_lag,notes,damage,shield_lag,shield_stun,hitbox_type,advantage_on_shield,active_frames,end_lag
Piranha_plant,Ground Attacks,Jab 1,2,19,--,Transitions to jab 2 on frame 5,2.4,10,3,--,-13,2—3,16
Piranha_plant,Ground Attacks,Jab 2,2,20,--,Transitions to jab 3 as early as frame 8 and rapid as early as frame 7,2.2,5,3,--,-15,2—3,17
Piranha_plant,Ground Attacks,Jab 3,7,25,--,--,4.4,--,10,5,-13,7—8,17
Piranha_plant,Ground Attacks,Rapid Jab,6/10/14...,--,--,--,0.6,4,5,--,**,6/10/14...,--
Piranha_plant,Ground Attacks,Rapid Jab Finisher,7,40,--,--,3.4,--,15,4,-29,6—7,33
Piranha_plant,Ground Attacks,Forward Tilt 1,7,27,--,Transitions to F-tilt 2 as early as frame 12,5.5,8,6,--,-14,7—8,19
Piranha_plant,Ground Attacks,Forward Tilt 2,5,31,--,--,6.0,9,6,--,-20,5—6,25
Piranha_plant,Ground Attacks,Up Tilt,6,26,--,Head intangibility on frame 6-13,9.0/7.0,7/7,9/7,Head/Body,-11/-13,6—13,13
Piranha_plant,Ground Attacks,Down Tilt,9,26,--,--,6.0/7.0,6/7,6/7,Close/Far,-10/-10,9—11,15
Piranha_plant,Ground Attacks,Dash Attack,7,47,--,--,10.0/7.0,8/7,12/9,Early/Late,-28,7—9/10—14,33
Piranha_plant,Ground Attacks,Forward Smash,16,51,--,Head intangibility on frame 16-17. Charge hold is frame 5,15.0/19.0,10/13,10/13,Close/Far,-25/-22,16—17,34
Piranha_plant,Ground Attacks,Up Smash,12/16,51,--,Head intangibility on frame 12-18. Charge hold is frame 6,3.0/12.0,5/10,3/8,--,-27,12—15/16—18,33
Piranha_plant,Ground Attacks,Down Smash,10/14,43,--,Charge hold is frame 5,12.0/14.0,9/10,8/10,--,-24,10—11/14—15,28
Piranha_plant,Ground Attacks,Neutral Air,8/11/14/17/18,47,15,Autocancels on frame 1-4 and 40 onward,2.0/3.0,4/9,2/2,Multi/Final,-13/-13,8—17/18—19,28
Piranha_plant,Ground Attacks,Forward Air,7,44,13,Autocancels on frame 1-2 and 36 onward,9.0/11.0,7/8,4/4,Close/Far,-9/-9,7—9,35
