character,section,move,startup,total_frames,landing_lag,notes,damage,shield_lag,shield_stun,hitbox_type,advantage_on_shield,active_frames,end_lag
Sheik,Ground Attacks,Jab 1,2,17,--,Transitions to Jab 2 as early as frame 4.,2.0,7,3,--,-12,2,15
Sheik,Ground Attacks,Jab 2,3,17,--,Transitions to Rapid jab as early as frame 5.,1.6,5,3,--,-11,3,14
Sheik,Ground Attacks,Rapid Jab,5/4/9...,--,--,--,0.3,4,--,--,--,**,--
Sheik,Ground Attacks,Rapid Jab Finisher,5,35,--,--,2.0,9,3,--,-27,5—6,29
Sheik,Ground Attacks,Forward Tilt,5,24,--,--,3.0,5,4,--,-15,5—8,16
Sheik,Ground Attacks,Up Tilt,5/16,32,--,--,3.0/4.0,5/5,4/5,--,-11,5—8/16—23,9
Sheik,Ground Attacks,Down Tilt,5,26,--,--,4.5,5,5,--,-16,5—6,20
Sheik,Ground Attacks,Dash Attack,5,34,--,--,7.0,9,10,--,-19,5—6(7—8),26
Sheik,Ground Attacks,Forward Smash,12/20,44,--,Charge hold is frame 3,5.0/8.0,6/7,4/6,--,-18,12/20—21,23
Sheik,Ground Attacks,Up Smash,11/14,52,--,Arm intangibility on frame 8-15. Charge hold is frame 6,15.0/11.0,13/8,10/8,--,-30,11/14—15,37
Sheik,Ground Attacks,Down Smash,8/15,48,--,Charge hold is frame 1,4.0/6.0,5/6,4/5,--,-28,8—9/15—16,32
Sheik,Ground Attacks,Neutral Air,3,49,6,Autocancels on frame 1-2 and 31 onward,6.0/4.0,6/5,3/3,Early/Late,-3/-3,3—6(7—30),19
Sheik,Ground Attacks,Forward Air,5,34,5,Autocancels on frame 1-4 and 11 onward,3.8/4.5,4/5,3/3,Close/Far,-2/-2,5—7,27
Sheik,Ground Attacks,Back Air,4,37,7,Autocancels on frame 1-3 and 31 onward,(7.5%/9.5%)/6.0%,7/6,3/3,(Clean (Close/Far)/Late),-4/-4,4—6(7—14),23
Sheik,Ground Attacks,Up Air,4...,43,13,Autocancels on frame 1-3 and 44 onward,1.0/4.0,4/11,2/3,Multi/Final,-11/-10,4—15/23—24 (rehit: 4),19
Sheik,Ground Attacks,Down Air,15,54,22,Landing hit on frame 1. Autocancels on frame 1-2 and 53 onward,10.0/2.0,8/4,4/3,Meteor/Falling/Landing,-18,15—18/19—33/1—2,21
Sheik,Ground Attacks,Neutral B (Needle Storm),4/7/10/13/16 (+7),41/35,--,Startup is 5 from a charging state. 7 frames to enter charge state. Takes 4 frames to exit charge with shield. Second total frames is for the air.,1.5/0.8,4/4,2/2,Close/Far,-18,**,--
Sheik,Ground Attacks,"Needle Storm, Full Charge",11/14/17/20/23/26,48/42,16,86 frames to reach full charge. Second total frames is for the air.,1.5/0.8,4/4,2/2,Close/Far,-15,**,--
Sheik,Ground Attacks,Side B (Burst Grenade),13/67/70/73/76/79/82/88,75—104,--,"From release, startup is 29/32/35/38/41/44/50 and endlag is 39 frames. All but the final hit are just windboxes.",1.0/12.6,4/11,2/4,--,+28,**,--
Sheik,Ground Attacks,Up B (Vanish),36/55,95,20,Invulnerable on frame 14-60 on the ground or 19-55 in the air. Landing lag only occurs if you enter special fall.,12.0/5.0,9/6,4/6,--,-33,36—38/55—57,38
Sheik,Ground Attacks,Down B (Bouncing Fish),18/26,63/50/45,35/19,"First startup is if you attack early. Second landing lag is after a hit. Endlag is 79 on hit, or after 20 frames initiate a 29 total frames rebound attack with 3 startup. First total frames is on level ground. Second is in the air. Third is in the air if you attack early.",11.0,14,10,--,-39,**,--
Sheik,Ground Attacks,Grab,6,36,--,--,--,,,,,6—7,29
Sheik,Ground Attacks,Dash Grab,9,44,--,--,--,,,,,9—10,34
Sheik,Ground Attacks,Pivot Grab,11,39,--,--,--,,,,,11—12,27
Sheik,Ground Attacks,Pummel,1,15,Total frames includes 10 frames of hitlag.,--,1.0,,,,,,
Sheik,Ground Attacks,Forward Throw,20/22,39,--,--,5.0/2.0,,,,,,
Sheik,Ground Attacks,Backward Throw,15/17,35,--,--,5.0/2.0,,,,,,
Sheik,Ground Attacks,Up Throw,19/21,49,--,--,3.0/3.0,,,,,,
Sheik,Ground Attacks,Down Throw,26/30,53,--,"Active 26—29, releases on 30.",3.0/3.0,,,,,,
Sheik,Ground Attacks,Spot Dodge,,18/23,--,Intangible on frame 3-14,,,,,,,
Sheik,Ground Attacks,Forward Roll,,26,--,Intangible on frame 4-12,,,,,,,
Sheik,Ground Attacks,Backward Roll,,32,--,Intangible on frame 4-14,,,,,,,
Sheik,Ground Attacks,Neutral Air Dodge,,44,10,Intangible on frame 2-26,,,,,,,
Sheik,Ground Attacks,"Air Dodge, Down",,63,11-19,Intangible on frame 2-19,,,,,,,
Sheik,Ground Attacks,"Air Dodge, Diagonally Down",,67,11-19,Intangible on frame 2-19,,,,,,,
Sheik,Ground Attacks,"Air Dodge, Left/Right",,74,11-19,Intangible on frame 2-19,,,,,,,
Sheik,Ground Attacks,"Air Dodge, Diagonally Up",,85,11-19,Intangible on frame 2-19,,,,,,,
Sheik,Ground Attacks,"Air Dodge, Up",,93,11-19,Intangible on frame 2-19,,,,,,,
Sheik,Ground Attacks,Stats,,,,,,,,,,,
Sheik,Ground Attacks,Ledge Grab,,,,,,,,,,,
Sheik,Ground Attacks,Ledge Hang,,,,,,,,,,,
Sheik,Ground Attacks,Ledge Roll,,,,,,,,,,,
Sheik,Ground Attacks,Getup Attacks,,,,,,,,,,,
Sheik,Aerial Attacks,Neutral Air,3,49,6,Autocancels on frame 1-2 and 31 onward,6.0/4.0,6/5,3/3,Early/Late,-3/-3,3—6(7—30),19
Sheik,Aerial Attacks,Forward Air,5,34,5,Autocancels on frame 1-4 and 11 onward,3.8/4.5,4/5,3/3,Close/Far,-2/-2,5—7,27
Sheik,Aerial Attacks,Back Air,4,37,7,Autocancels on frame 1-3 and 31 onward,(7.5%/9.5%)/6.0%,7/6,3/3,(Clean (Close/Far)/Late),-4/-4,4—6(7—14),23
Sheik,Aerial Attacks,Up Air,4...,43,13,Autocancels on frame 1-3 and 44 onward,1.0/4.0,4/11,2/3,Multi/Final,-11/-10,4—15/23—24 (rehit: 4),19
Sheik,Aerial Attacks,Down Air,15,54,22,Landing hit on frame 1. Autocancels on frame 1-2 and 53 onward,10.0/2.0,8/4,4/3,Meteor/Falling/Landing,-18,15—18/19—33/1—2,21
Sheik,Aerial Attacks,Neutral B (Needle Storm),4/7/10/13/16 (+7),41/35,--,Startup is 5 from a charging state. 7 frames to enter charge state. Takes 4 frames to exit charge with shield. Second total frames is for the air.,1.5/0.8,4/4,2/2,Close/Far,-18,**,--
Sheik,Aerial Attacks,"Needle Storm, Full Charge",11/14/17/20/23/26,48/42,16,86 frames to reach full charge. Second total frames is for the air.,1.5/0.8,4/4,2/2,Close/Far,-15,**,--
Sheik,Aerial Attacks,Side B (Burst Grenade),13/67/70/73/76/79/82/88,75—104,--,"From release, startup is 29/32/35/38/41/44/50 and endlag is 39 frames. All but the final hit are just windboxes.",1.0/12.6,4/11,2/4,--,+28,**,--
Sheik,Aerial Attacks,Up B (Vanish),36/55,95,20,Invulnerable on frame 14-60 on the ground or 19-55 in the air. Landing lag only occurs if you enter special fall.,12.0/5.0,9/6,4/6,--,-33,36—38/55—57,38
Sheik,Aerial Attacks,Down B (Bouncing Fish),18/26,63/50/45,35/19,"First startup is if you attack early. Second landing lag is after a hit. Endlag is 79 on hit, or after 20 frames initiate a 29 total frames rebound attack with 3 startup. First total frames is on level ground. Second is in the air. Third is in the air if you attack early.",11.0,14,10,--,-39,**,--
Sheik,Aerial Attacks,Grab,6,36,--,--,--,,,,,6—7,29
Sheik,Aerial Attacks,Dash Grab,9,44,--,--,--,,,,,9—10,34
Sheik,Aerial Attacks,Pivot Grab,11,39,--,--,--,,,,,11—12,27
Sheik,Aerial Attacks,Pummel,1,15,Total frames includes 10 frames of hitlag.,--,1.0,,,,,,
Sheik,Aerial Attacks,Forward Throw,20/22,39,--,--,5.0/2.0,,,,,,
Sheik,Aerial Attacks,Backward Throw,15/17,35,--,--,5.0/2.0,,,,,,
Sheik,Aerial Attacks,Up Throw,19/21,49,--,--,3.0/3.0,,,,,,
Sheik,Aerial Attacks,Down Throw,26/30,53,--,"Active 26—29, releases on 30.",3.0/3.0,,,,,,
Sheik,Aerial Attacks,Spot Dodge,,18/23,--,Intangible on frame 3-14,,,,,,,
Sheik,Aerial Attacks,Forward Roll,,26,--,Intangible on frame 4-12,,,,,,,
Sheik,Aerial Attacks,Backward Roll,,32,--,Intangible on frame 4-14,,,,,,,
Sheik,Aerial Attacks,Neutral Air Dodge,,44,10,Intangible on frame 2-26,,,,,,,
Sheik,Aerial Attacks,"Air Dodge, Down",,63,11-19,Intangible on frame 2-19,,,,,,,
Sheik,Aerial Attacks,"Air Dodge, Diagonally Down",,67,11-19,Intangible on frame 2-19,,,,,,,
Sheik,Aerial Attacks,"Air Dodge, Left/Right",,74,11-19,Intangible on frame 2-19,,,,,,,
Sheik,Aerial Attacks,"Air Dodge, Diagonally Up",,85,11-19,Intangible on frame 2-19,,,,,,,
Sheik,Aerial Attacks,"Air Dodge, Up",,93,11-19,Intangible on frame 2-19,,,,,,,
Sheik,Aerial Attacks,Stats,,,,,,,,,,,
Sheik,Aerial Attacks,Ledge Grab,,,,,,,,,,,
Sheik,Aerial Attacks,Ledge Hang,,,,,,,,,,,
Sheik,Aerial Attacks,Ledge Roll,,,,,,,,,,,
Sheik,Aerial Attacks,Getup Attacks,,,,,,,,,,,
Sheik,Special Attacks,Neutral B (Needle Storm),4/7/10/13/16 (+7),41/35,--,Startup is 5 from a charging state. 7 frames to enter charge state. Takes 4 frames to exit charge with shield. Second total frames is for the air.,1.5/0.8,4/4,2/2,Close/Far,-18,**,--
Sheik,Special Attacks,"Needle Storm, Full Charge",11/14/17/20/23/26,48/42,16,86 frames to reach full charge. Second total frames is for the air.,1.5/0.8,4/4,2/2,Close/Far,-15,**,--
Sheik,Special Attacks,Side B (Burst Grenade),13/67/70/73/76/79/82/88,75—104,--,"From release, startup is 29/32/35/38/41/44/50 and endlag is 39 frames. All but the final hit are just windboxes.",1.0/12.6,4/11,2/4,--,+28,**,--
Sheik,Special Attacks,Up B (Vanish),36/55,95,20,Invulnerable on frame 14-60 on the ground or 19-55 in the air. Landing lag only occurs if you enter special fall.,12.0/5.0,9/6,4/6,--,-33,36—38/55—57,38
Sheik,Special Attacks,Down B (Bouncing Fish),18/26,63/50/45,35/19,"First startup is if you attack early. Second landing lag is after a hit. Endlag is 79 on hit, or after 20 frames initiate a 29 total frames rebound attack with 3 startup. First total frames is on level ground. Second is in the air. Third is in the air if you attack early.",11.0,14,10,--,-39,**,--
Sheik,Special Attacks,Grab,6,36,--,--,--,,,,,6—7,29
Sheik,Special Attacks,Dash Grab,9,44,--,--,--,,,,,9—10,34
Sheik,Special Attacks,Pivot Grab,11,39,--,--,--,,,,,11—12,27
Sheik,Special Attacks,Pummel,1,15,Total frames includes 10 frames of hitlag.,--,1.0,,,,,,
Sheik,Special Attacks,Forward Throw,20/22,39,--,--,5.0/2.0,,,,,,
Sheik,Special Attacks,Backward Throw,15/17,35,--,--,5.0/2.0,,,,,,
Sheik,Special Attacks,Up Throw,19/21,49,--,--,3.0/3.0,,,,,,
Sheik,Special Attacks,Down Throw,26/30,53,--,"Active 26—29, releases on 30.",3.0/3.0,,,,,,
Sheik,Special Attacks,Spot Dodge,,18/23,--,Intangible on frame 3-14,,,,,,,
Sheik,Special Attacks,Forward Roll,,26,--,Intangible on frame 4-12,,,,,,,
Sheik,Special Attacks,Backward Roll,,32,--,Intangible on frame 4-14,,,,,,,
Sheik,Special Attacks,Neutral Air Dodge,,44,10,Intangible on frame 2-26,,,,,,,
Sheik,Special Attacks,"Air Dodge, Down",,63,11-19,Intangible on frame 2-19,,,,,,,
Sheik,Special Attacks,"Air Dodge, Diagonally Down",,67,11-19,Intangible on frame 2-19,,,,,,,
Sheik,Special Attacks,"Air Dodge, Left/Right",,74,11-19,Intangible on frame 2-19,,,,,,,
Sheik,Special Attacks,"Air Dodge, Diagonally Up",,85,11-19,Intangible on frame 2-19,,,,,,,
Sheik,Special Attacks,"Air Dodge, Up",,93,11-19,Intangible on frame 2-19,,,,,,,
Sheik,Special Attacks,Stats,,,,,,,,,,,
Sheik,Special Attacks,Ledge Grab,,,,,,,,,,,
Sheik,Special Attacks,Ledge Hang,,,,,,,,,,,
Sheik,Special Attacks,Ledge Roll,,,,,,,,,,,
Sheik,Special Attacks,Getup Attacks,,,,,,,,,,,
Sheik,Grabs / Throws,Grab,6,36,--,--,--,,,,,6—7,29
Sheik,Grabs / Throws,Dash Grab,9,44,--,--,--,,,,,9—10,34
Sheik,Grabs / Throws,Pivot Grab,11,39,--,--,--,,,,,11—12,27
Sheik,Grabs / Throws,Pummel,1,15,Total frames includes 10 frames of hitlag.,--,1.0,,,,,,
Sheik,Grabs / Throws,Forward Throw,20/22,39,--,--,5.0/2.0,,,,,,
Sheik,Grabs / Throws,Backward Throw,15/17,35,--,--,5.0/2.0,,,,,,
Sheik,Grabs / Throws,Up Throw,19/21,49,--,--,3.0/3.0,,,,,,
Sheik,Grabs / Throws,Down Throw,26/30,53,--,"Active 26—29, releases on 30.",3.0/3.0,,,,,,
Sheik,Grabs / Throws,Spot Dodge,,18/23,--,Intangible on frame 3-14,,,,,,,
Sheik,Grabs / Throws,Forward Roll,,26,--,Intangible on frame 4-12,,,,,,,
Sheik,Grabs / Throws,Backward Roll,,32,--,Intangible on frame 4-14,,,,,,,
Sheik,Grabs / Throws,Neutral Air Dodge,,44,10,Intangible on frame 2-26,,,,,,,
Sheik,Grabs / Throws,"Air Dodge, Down",,63,11-19,Intangible on frame 2-19,,,,,,,
Sheik,Grabs / Throws,"Air Dodge, Diagonally Down",,67,11-19,Intangible on frame 2-19,,,,,,,
Sheik,Grabs / Throws,"Air Dodge, Left/Right",,74,11-19,Intangible on frame 2-19,,,,,,,
Sheik,Grabs / Throws,"Air Dodge, Diagonally Up",,85,11-19,Intangible on frame 2-19,,,,,,,
Sheik,Grabs / Throws,"Air Dodge, Up",,93,11-19,Intangible on frame 2-19,,,,,,,
Sheik,Grabs / Throws,Stats,,,,,,,,,,,
Sheik,Grabs / Throws,Ledge Grab,,,,,,,,,,,
Sheik,Grabs / Throws,Ledge Hang,,,,,,,,,,,
Sheik,Grabs / Throws,Ledge Roll,,,,,,,,,,,
Sheik,Grabs / Throws,Getup Attacks,,,,,,,,,,,
Sheik,Dodges / Rolls,Spot Dodge,,18/23,--,Intangible on frame 3-14,,,,,,,
Sheik,Dodges / Rolls,Forward Roll,,26,--,Intangible on frame 4-12,,,,,,,
Sheik,Dodges / Rolls,Backward Roll,,32,--,Intangible on frame 4-14,,,,,,,
Sheik,Dodges / Rolls,Neutral Air Dodge,,44,10,Intangible on frame 2-26,,,,,,,
Sheik,Dodges / Rolls,"Air Dodge, Down",,63,11-19,Intangible on frame 2-19,,,,,,,
Sheik,Dodges / Rolls,"Air Dodge, Diagonally Down",,67,11-19,Intangible on frame 2-19,,,,,,,
Sheik,Dodges / Rolls,"Air Dodge, Left/Right",,74,11-19,Intangible on frame 2-19,,,,,,,
Sheik,Dodges / Rolls,"Air Dodge, Diagonally Up",,85,11-19,Intangible on frame 2-19,,,,,,,
Sheik,Dodges / Rolls,"Air Dodge, Up",,93,11-19,Intangible on frame 2-19,,,,,,,
Sheik,Dodges / Rolls,Stats,,,,,,,,,,,
Sheik,Dodges / Rolls,Ledge Grab,,,,,,,,,,,
Sheik,Dodges / Rolls,Ledge Hang,,,,,,,,,,,
Sheik,Dodges / Rolls,Ledge Roll,,,,,,,,,,,
Sheik,Dodges / Rolls,Getup Attacks,,,,,,,,,,,
Sheik,Misc Info,Stats,,,,,,,,,,,
Sheik,Misc Info,Ledge Grab,,,,,,,,,,,
Sheik,Misc Info,Ledge Hang,,,,,,,,,,,
Sheik,Misc Info,Ledge Roll,,,,,,,,,,,
Sheik,Misc Info,Getup Attacks,,,,,,,,,,,
